"from" "to" "weight"
"1" "AAA" "Bracco" 1
"2" "AAA" "Cage" 1
"3" "AAA" "Fluody" 1
"4" "AAA" "FPRC" 1
"5" "AAA" "IM3D" 1
"6" "AAA" "Invento" 1
"7" "AAA" "UniPmn_DiSAV" 1
"8" "AAA" "UniTO_CMBC" 1
"9" "Aethia" "Eraclone" 1
"10" "Aethia" "Erplan" 1
"11" "Aethia" "FPRC" 1
"12" "Aethia" "RBM" 1
"13" "Aethia" "Sister" 1
"14" "Aethia" "Stelar" 1
"15" "Aethia" "UniTO_CMBC" 1
"16" "Apavadis" "Chiesi" 1
"17" "Apavadis" "CreabilisTherap" 1
"18" "Apavadis" "FPRC" 1
"19" "Apavadis" "Orizon" 1
"20" "Apavadis" "RBM" 1
"21" "Apavadis" "Targetheartbiotec" 1
"22" "Apavadis" "UniPmn_DiSCAFF" 1
"23" "Apavadis" "UniTO_DGBB" 1
"24" "Apereserce" "CID" 1
"25" "Apereserce" "INRIM" 1
"26" "Apereserce" "lanzathomson" 1
"27" "Apereserce" "life_device" 1
"28" "Apereserce" "PoliTO_DIMEC " 1
"29" "Apereserce" "SKE" 1
"30" "Apereserce" "SorinBiomedica" 1
"31" "Apereserce" "UNI_PI" 1
"32" "Apereserce" "UniTO_CISRA" 1
"33" "Apereserce" "UniTO_DSCB" 1
"34" "Areta" "Bioclams" 1
"35" "Areta" "FPRC" 1
"36" "Areta" "Genovax" 1
"37" "Areta" "Hmgbiotec" 1
"38" "Areta" "IM3D" 1
"39" "Areta" "Nanogen" 1
"40" "Areta" "Nanovector" 1
"41" "Areta" "Natimab" 1
"42" "Areta" "Nurex" 1
"43" "Areta" "UniPmn_DSM" 1
"44" "Areta" "UniTO_DAFML" 1
"45" "Areta" "UniTO_DIChIFM" 1
"46" "Areta" "UniTO_DMOS" 1
"47" "Areta" "UniTO_DOncUm" 1
"48" "Areta" "UniTO_DSCB" 1
"49" "AsuMolinette" "Biodiversity" 1
"50" "AsuMolinette" "Bruker" 1
"51" "AsuMolinette" "Eltec" 1
"52" "AsuMolinette" "Inpeco" 1
"53" "AsuMolinette" "INRIM" 2
"54" "AsuMolinette" "Micro_la" 2
"55" "AsuMolinette" "Olivetti_ijet" 1
"56" "AsuMolinette" "PoliTO_DIFIS " 1
"57" "AsuMolinette" "Politronica" 1
"58" "AsuMolinette" "RibesInformatica" 1
"59" "AsuMolinette" "RibesRicerche" 1
"60" "AsuMolinette" "UniPmn" 2
"61" "AsuMolinette" "Crisel" 1
"62" "AsuMolinette" "Cyanine" 1
"63" "AsuMolinette" "ETG" 1
"64" "AsuMolinette" "Fairglass" 1
"65" "AsuMolinette" "MetecT" 1
"66" "AsuMolinette" "NTT" 1
"67" "AsuMolinette" "POLITO" 1
"68" "AsuMolinette" "Sianegen" 1
"69" "AsuMolinette" "Sinergye" 1
"70" "AsuMolinette" "Techfab" 1
"71" "AsuMolinette" "tecnolab" 1
"72" "AsuMolinette" "TecnoparkVCO" 1
"73" "AsuMolinette" "UNITO" 1
"74" "AsuMolinette" "UniTO_NIT" 1
"75" "Bioci" "Diasorin" 1
"76" "Bioci" "L_Biomat" 1
"77" "Bioci" "Notopharm" 1
"78" "Bioci" "Techfab" 1
"79" "Bioci" "UniPmn" 1
"80" "Bioclams" "FPRC" 1
"81" "Bioclams" "Genovax" 1
"82" "Bioclams" "Hmgbiotec" 1
"83" "Bioclams" "IM3D" 1
"84" "Bioclams" "Nanogen" 1
"85" "Bioclams" "Nanovector" 1
"86" "Bioclams" "Natimab" 1
"87" "Bioclams" "Nurex" 1
"88" "Bioclams" "UniPmn_DSM" 1
"89" "Bioclams" "UniTO_DAFML" 1
"90" "Bioclams" "UniTO_DIChIFM" 1
"91" "Bioclams" "UniTO_DMOS" 1
